target_label,objective,tau_AI_us,policy,source_policy,selected_ref_slew_us,objective_score,regret_vs_combined_oracle,selection_basis,boundary
20A,base,0.0,combined_grid_oracle,combined_grid_oracle,86.0,2.13279592581763,0.0,offline lower-bound comparator,offline R026 grid replay only; not switching re-simulation
10A,score_settle010,0.5,combined_grid_oracle,combined_grid_oracle,32.0,10.53206583689932,0.0,offline lower-bound comparator,offline R026 grid replay only; not switching re-simulation
10A,score_settle010,0.5,discrete_dense_long_table,discrete_dense_long_table,30.0,11.0217091468132,0.4896433099138786,deployable table baseline,offline R026 grid replay only; not switching re-simulation
10A,score_settle010,0.5,calibrated_risk_proxy_projection,calibrated_risk_proxy_projection,32.0,10.53206583689932,0.0,old R026 calibrated proxy,offline R026 grid replay only; not switching re-simulation
10A,score_settle010,0.5,r028_dense_anchor_proxy,calibrated_risk_proxy_projection,32.0,10.53206583689932,0.0,R028 dense-anchor proxy replay on R026 grid,offline R026 grid replay only; not switching re-simulation
10A,score_settle010,0.5,r028_switching_guarded_proxy,calibrated_risk_proxy_projection,32.0,10.53206583689932,0.0,R028 stress-fitted candidate replay on R026 grid,offline R026 grid replay only; not switching re-simulation
10A,score_settle010,0.5,near_opt_band_clipping,near_opt_band_clipping,32.0,10.53206583689932,0.0,offline comparator,offline R026 grid replay only; not switching re-simulation
10A,score_settle010,1.0,combined_grid_oracle,combined_grid_oracle,32.0,10.53206583689932,0.0,offline lower-bound comparator,offline R026 grid replay only; not switching re-simulation
10A,score_settle010,1.0,discrete_dense_long_table,discrete_dense_long_table,30.0,11.0217091468132,0.4896433099138786,deployable table baseline,offline R026 grid replay only; not switching re-simulation
10A,score_settle010,1.0,calibrated_risk_proxy_projection,calibrated_risk_proxy_projection,32.0,10.53206583689932,0.0,old R026 calibrated proxy,offline R026 grid replay only; not switching re-simulation
10A,score_settle010,1.0,r028_dense_anchor_proxy,calibrated_risk_proxy_projection,32.0,10.53206583689932,0.0,R028 dense-anchor proxy replay on R026 grid,offline R026 grid replay only; not switching re-simulation
10A,score_settle010,1.0,r028_switching_guarded_proxy,calibrated_risk_proxy_projection,32.0,10.53206583689932,0.0,R028 stress-fitted candidate replay on R026 grid,offline R026 grid replay only; not switching re-simulation
10A,score_settle010,1.0,near_opt_band_clipping,near_opt_band_clipping,32.0,10.53206583689932,0.0,offline comparator,offline R026 grid replay only; not switching re-simulation
10A,score_settle010,2.0,combined_grid_oracle,combined_grid_oracle,32.0,10.53206583689932,0.0,offline lower-bound comparator,offline R026 grid replay only; not switching re-simulation
10A,score_settle010,2.0,discrete_dense_long_table,discrete_dense_long_table,30.0,11.0217091468132,0.4896433099138786,deployable table baseline,offline R026 grid replay only; not switching re-simulation
10A,score_settle010,2.0,calibrated_risk_proxy_projection,calibrated_risk_proxy_projection,32.0,10.53206583689932,0.0,old R026 calibrated proxy,offline R026 grid replay only; not switching re-simulation
10A,score_settle010,2.0,r028_dense_anchor_proxy,calibrated_risk_proxy_projection,32.0,10.53206583689932,0.0,R028 dense-anchor proxy replay on R026 grid,offline R026 grid replay only; not switching re-simulation
10A,score_settle010,2.0,r028_switching_guarded_proxy,calibrated_risk_proxy_projection,32.0,10.53206583689932,0.0,R028 stress-fitted candidate replay on R026 grid,offline R026 grid replay only; not switching re-simulation
10A,score_settle010,2.0,near_opt_band_clipping,near_opt_band_clipping,32.0,10.53206583689932,0.0,offline comparator,offline R026 grid replay only; not switching re-simulation
10A,score_settle010,5.0,combined_grid_oracle,combined_grid_oracle,32.0,10.53206583689932,0.0,offline lower-bound comparator,offline R026 grid replay only; not switching re-simulation
10A,score_settle010,5.0,discrete_dense_long_table,discrete_dense_long_table,30.0,11.0217091468132,0.4896433099138786,deployable table baseline,offline R026 grid replay only; not switching re-simulation
10A,score_settle010,5.0,calibrated_risk_proxy_projection,calibrated_risk_proxy_projection,32.0,10.53206583689932,0.0,old R026 calibrated proxy,offline R026 grid replay only; not switching re-simulation
10A,score_settle010,5.0,r028_dense_anchor_proxy,calibrated_risk_proxy_projection,32.0,10.53206583689932,0.0,R028 dense-anchor proxy replay on R026 grid,offline R026 grid replay only; not switching re-simulation
10A,score_settle010,5.0,r028_switching_guarded_proxy,calibrated_risk_proxy_projection,32.0,10.53206583689932,0.0,R028 stress-fitted candidate replay on R026 grid,offline R026 grid replay only; not switching re-simulation
10A,score_settle010,5.0,near_opt_band_clipping,near_opt_band_clipping,32.0,10.53206583689932,0.0,offline comparator,offline R026 grid replay only; not switching re-simulation
near0A,base,0.0,combined_grid_oracle,combined_grid_oracle,92.0,16.5806953716813,0.0,offline lower-bound comparator,offline R026 grid replay only; not switching re-simulation
near0A,base,0.0,discrete_dense_long_table,discrete_dense_long_table,60.0,16.8006726708387,0.2199772991573994,deployable table baseline,offline R026 grid replay only; not switching re-simulation
near0A,base,0.0,calibrated_risk_proxy_projection,calibrated_risk_proxy_projection,86.0,16.7842789699408,0.2035835982594989,old R026 calibrated proxy,offline R026 grid replay only; not switching re-simulation
near0A,base,0.0,r028_dense_anchor_proxy,discrete_dense_long_table,60.0,16.8006726708387,0.2199772991573994,R028 dense-anchor proxy replay on R026 grid,offline R026 grid replay only; not switching re-simulation
near0A,base,0.0,r028_switching_guarded_proxy,discrete_dense_long_table,60.0,16.8006726708387,0.2199772991573994,R028 stress-fitted candidate replay on R026 grid,offline R026 grid replay only; not switching re-simulation
near0A,base,0.0,near_opt_band_clipping,near_opt_band_clipping,92.0,16.5806953716813,0.0,offline comparator,offline R026 grid replay only; not switching re-simulation
near0A,base,0.5,combined_grid_oracle,combined_grid_oracle,92.0,16.5806953716813,0.0,offline lower-bound comparator,offline R026 grid replay only; not switching re-simulation
near0A,base,0.5,discrete_dense_long_table,discrete_dense_long_table,60.0,16.8006726708387,0.2199772991573994,deployable table baseline,offline R026 grid replay only; not switching re-simulation
near0A,base,0.5,calibrated_risk_proxy_projection,calibrated_risk_proxy_projection,86.0,16.7842789699408,0.2035835982594989,old R026 calibrated proxy,offline R026 grid replay only; not switching re-simulation
near0A,base,0.5,r028_dense_anchor_proxy,discrete_dense_long_table,60.0,16.8006726708387,0.2199772991573994,R028 dense-anchor proxy replay on R026 grid,offline R026 grid replay only; not switching re-simulation
near0A,base,0.5,r028_switching_guarded_proxy,discrete_dense_long_table,60.0,16.8006726708387,0.2199772991573994,R028 stress-fitted candidate replay on R026 grid,offline R026 grid replay only; not switching re-simulation
near0A,base,0.5,near_opt_band_clipping,near_opt_band_clipping,92.0,16.5806953716813,0.0,offline comparator,offline R026 grid replay only; not switching re-simulation
near0A,base,1.0,combined_grid_oracle,combined_grid_oracle,92.0,16.5806953716813,0.0,offline lower-bound comparator,offline R026 grid replay only; not switching re-simulation
near0A,base,1.0,discrete_dense_long_table,discrete_dense_long_table,60.0,16.8006726708387,0.2199772991573994,deployable table baseline,offline R026 grid replay only; not switching re-simulation
near0A,base,1.0,calibrated_risk_proxy_projection,calibrated_risk_proxy_projection,86.0,16.7842789699408,0.2035835982594989,old R026 calibrated proxy,offline R026 grid replay only; not switching re-simulation
near0A,base,1.0,r028_dense_anchor_proxy,discrete_dense_long_table,60.0,16.8006726708387,0.2199772991573994,R028 dense-anchor proxy replay on R026 grid,offline R026 grid replay only; not switching re-simulation
near0A,base,1.0,r028_switching_guarded_proxy,discrete_dense_long_table,60.0,16.8006726708387,0.2199772991573994,R028 stress-fitted candidate replay on R026 grid,offline R026 grid replay only; not switching re-simulation
near0A,base,1.0,near_opt_band_clipping,near_opt_band_clipping,92.0,16.5806953716813,0.0,offline comparator,offline R026 grid replay only; not switching re-simulation
near0A,base,2.0,combined_grid_oracle,combined_grid_oracle,92.0,16.5806953716813,0.0,offline lower-bound comparator,offline R026 grid replay only; not switching re-simulation
near0A,base,2.0,discrete_dense_long_table,discrete_dense_long_table,60.0,16.8006726708387,0.2199772991573994,deployable table baseline,offline R026 grid replay only; not switching re-simulation
near0A,base,2.0,calibrated_risk_proxy_projection,calibrated_risk_proxy_projection,86.0,16.7842789699408,0.2035835982594989,old R026 calibrated proxy,offline R026 grid replay only; not switching re-simulation
near0A,base,2.0,r028_dense_anchor_proxy,discrete_dense_long_table,60.0,16.8006726708387,0.2199772991573994,R028 dense-anchor proxy replay on R026 grid,offline R026 grid replay only; not switching re-simulation
near0A,base,2.0,r028_switching_guarded_proxy,discrete_dense_long_table,60.0,16.8006726708387,0.2199772991573994,R028 stress-fitted candidate replay on R026 grid,offline R026 grid replay only; not switching re-simulation
near0A,base,2.0,near_opt_band_clipping,near_opt_band_clipping,92.0,16.5806953716813,0.0,offline comparator,offline R026 grid replay only; not switching re-simulation
near0A,base,5.0,combined_grid_oracle,combined_grid_oracle,92.0,16.5806953716813,0.0,offline lower-bound comparator,offline R026 grid replay only; not switching re-simulation
near0A,base,5.0,discrete_dense_long_table,discrete_dense_long_table,60.0,16.8006726708387,0.2199772991573994,deployable table baseline,offline R026 grid replay only; not switching re-simulation
near0A,base,5.0,calibrated_risk_proxy_projection,calibrated_risk_proxy_projection,86.0,16.7842789699408,0.2035835982594989,old R026 calibrated proxy,offline R026 grid replay only; not switching re-simulation
near0A,base,5.0,r028_dense_anchor_proxy,discrete_dense_long_table,60.0,16.8006726708387,0.2199772991573994,R028 dense-anchor proxy replay on R026 grid,offline R026 grid replay only; not switching re-simulation
near0A,base,5.0,r028_switching_guarded_proxy,discrete_dense_long_table,60.0,16.8006726708387,0.2199772991573994,R028 stress-fitted candidate replay on R026 grid,offline R026 grid replay only; not switching re-simulation
near0A,base,5.0,near_opt_band_clipping,near_opt_band_clipping,92.0,16.5806953716813,0.0,offline comparator,offline R026 grid replay only; not switching re-simulation
near0A,score_settle005,0.0,combined_grid_oracle,combined_grid_oracle,38.0,18.4642064939804,0.0,offline lower-bound comparator,offline R026 grid replay only; not switching re-simulation
near0A,score_settle005,0.0,discrete_dense_long_table,discrete_dense_long_table,60.0,18.5671726708387,0.10296617685830256,deployable table baseline,offline R026 grid replay only; not switching re-simulation
near0A,score_settle005,0.0,calibrated_risk_proxy_projection,calibrated_risk_proxy_projection,60.0,18.5671726708387,0.10296617685830256,old R026 calibrated proxy,offline R026 grid replay only; not switching re-simulation
near0A,score_settle005,0.0,r028_dense_anchor_proxy,calibrated_risk_proxy_projection,60.0,18.5671726708387,0.10296617685830256,R028 dense-anchor proxy replay on R026 grid,offline R026 grid replay only; not switching re-simulation
near0A,score_settle005,0.0,r028_switching_guarded_proxy,calibrated_risk_proxy_projection,60.0,18.5671726708387,0.10296617685830256,R028 stress-fitted candidate replay on R026 grid,offline R026 grid replay only; not switching re-simulation
near0A,score_settle005,0.0,near_opt_band_clipping,near_opt_band_clipping,60.0,18.5671726708387,0.10296617685830256,offline comparator,offline R026 grid replay only; not switching re-simulation
near0A,score_settle005,0.5,combined_grid_oracle,combined_grid_oracle,38.0,18.4642064939804,0.0,offline lower-bound comparator,offline R026 grid replay only; not switching re-simulation
near0A,score_settle005,0.5,discrete_dense_long_table,discrete_dense_long_table,60.0,18.5671726708387,0.10296617685830256,deployable table baseline,offline R026 grid replay only; not switching re-simulation
near0A,score_settle005,0.5,calibrated_risk_proxy_projection,calibrated_risk_proxy_projection,60.0,18.5671726708387,0.10296617685830256,old R026 calibrated proxy,offline R026 grid replay only; not switching re-simulation
near0A,score_settle005,0.5,r028_dense_anchor_proxy,calibrated_risk_proxy_projection,60.0,18.5671726708387,0.10296617685830256,R028 dense-anchor proxy replay on R026 grid,offline R026 grid replay only; not switching re-simulation
near0A,score_settle005,0.5,r028_switching_guarded_proxy,calibrated_risk_proxy_projection,60.0,18.5671726708387,0.10296617685830256,R028 stress-fitted candidate replay on R026 grid,offline R026 grid replay only; not switching re-simulation
near0A,score_settle005,0.5,near_opt_band_clipping,near_opt_band_clipping,60.0,18.5671726708387,0.10296617685830256,offline comparator,offline R026 grid replay only; not switching re-simulation
near0A,score_settle005,1.0,combined_grid_oracle,combined_grid_oracle,38.0,18.4642064939804,0.0,offline lower-bound comparator,offline R026 grid replay only; not switching re-simulation
near0A,score_settle005,1.0,discrete_dense_long_table,discrete_dense_long_table,60.0,18.5671726708387,0.10296617685830256,deployable table baseline,offline R026 grid replay only; not switching re-simulation
near0A,score_settle005,1.0,calibrated_risk_proxy_projection,calibrated_risk_proxy_projection,60.0,18.5671726708387,0.10296617685830256,old R026 calibrated proxy,offline R026 grid replay only; not switching re-simulation
near0A,score_settle005,1.0,r028_dense_anchor_proxy,calibrated_risk_proxy_projection,60.0,18.5671726708387,0.10296617685830256,R028 dense-anchor proxy replay on R026 grid,offline R026 grid replay only; not switching re-simulation
near0A,score_settle005,1.0,r028_switching_guarded_proxy,calibrated_risk_proxy_projection,60.0,18.5671726708387,0.10296617685830256,R028 stress-fitted candidate replay on R026 grid,offline R026 grid replay only; not switching re-simulation
near0A,score_settle005,1.0,near_opt_band_clipping,near_opt_band_clipping,60.0,18.5671726708387,0.10296617685830256,offline comparator,offline R026 grid replay only; not switching re-simulation
near0A,score_settle005,2.0,combined_grid_oracle,combined_grid_oracle,38.0,18.4642064939804,0.0,offline lower-bound comparator,offline R026 grid replay only; not switching re-simulation
near0A,score_settle005,2.0,discrete_dense_long_table,discrete_dense_long_table,60.0,18.5671726708387,0.10296617685830256,deployable table baseline,offline R026 grid replay only; not switching re-simulation
near0A,score_settle005,2.0,calibrated_risk_proxy_projection,calibrated_risk_proxy_projection,60.0,18.5671726708387,0.10296617685830256,old R026 calibrated proxy,offline R026 grid replay only; not switching re-simulation
near0A,score_settle005,2.0,r028_dense_anchor_proxy,calibrated_risk_proxy_projection,60.0,18.5671726708387,0.10296617685830256,R028 dense-anchor proxy replay on R026 grid,offline R026 grid replay only; not switching re-simulation
near0A,score_settle005,2.0,r028_switching_guarded_proxy,calibrated_risk_proxy_projection,60.0,18.5671726708387,0.10296617685830256,R028 stress-fitted candidate replay on R026 grid,offline R026 grid replay only; not switching re-simulation
near0A,score_settle005,2.0,near_opt_band_clipping,near_opt_band_clipping,60.0,18.5671726708387,0.10296617685830256,offline comparator,offline R026 grid replay only; not switching re-simulation
near0A,score_settle005,5.0,combined_grid_oracle,combined_grid_oracle,38.0,18.4642064939804,0.0,offline lower-bound comparator,offline R026 grid replay only; not switching re-simulation
near0A,score_settle005,5.0,discrete_dense_long_table,discrete_dense_long_table,60.0,18.5671726708387,0.10296617685830256,deployable table baseline,offline R026 grid replay only; not switching re-simulation
near0A,score_settle005,5.0,calibrated_risk_proxy_projection,calibrated_risk_proxy_projection,60.0,18.5671726708387,0.10296617685830256,old R026 calibrated proxy,offline R026 grid replay only; not switching re-simulation
near0A,score_settle005,5.0,r028_dense_anchor_proxy,calibrated_risk_proxy_projection,60.0,18.5671726708387,0.10296617685830256,R028 dense-anchor proxy replay on R026 grid,offline R026 grid replay only; not switching re-simulation
near0A,score_settle005,5.0,r028_switching_guarded_proxy,calibrated_risk_proxy_projection,60.0,18.5671726708387,0.10296617685830256,R028 stress-fitted candidate replay on R026 grid,offline R026 grid replay only; not switching re-simulation
near0A,score_settle005,5.0,near_opt_band_clipping,near_opt_band_clipping,60.0,18.5671726708387,0.10296617685830256,offline comparator,offline R026 grid replay only; not switching re-simulation
near0A,score_settle010,0.0,combined_grid_oracle,combined_grid_oracle,38.0,19.549306493980403,0.0,offline lower-bound comparator,offline R026 grid replay only; not switching re-simulation
near0A,score_settle010,0.0,discrete_dense_long_table,discrete_dense_long_table,30.0,19.7840637899695,0.23475729598909822,deployable table baseline,offline R026 grid replay only; not switching re-simulation
near0A,score_settle010,0.0,calibrated_risk_proxy_projection,calibrated_risk_proxy_projection,30.0,19.7840637899695,0.23475729598909822,old R026 calibrated proxy,offline R026 grid replay only; not switching re-simulation
near0A,score_settle010,0.0,r028_dense_anchor_proxy,calibrated_risk_proxy_projection,30.0,19.7840637899695,0.23475729598909822,R028 dense-anchor proxy replay on R026 grid,offline R026 grid replay only; not switching re-simulation
near0A,score_settle010,0.0,r028_switching_guarded_proxy,near_opt_band_clipping,35.0,19.6731964742753,0.12388998029489784,R028 stress-fitted candidate replay on R026 grid,offline R026 grid replay only; not switching re-simulation
near0A,score_settle010,0.0,near_opt_band_clipping,near_opt_band_clipping,35.0,19.6731964742753,0.12388998029489784,offline comparator,offline R026 grid replay only; not switching re-simulation
near0A,score_settle010,0.5,combined_grid_oracle,combined_grid_oracle,38.0,19.549306493980403,0.0,offline lower-bound comparator,offline R026 grid replay only; not switching re-simulation
near0A,score_settle010,0.5,discrete_dense_long_table,discrete_dense_long_table,30.0,19.7840637899695,0.23475729598909822,deployable table baseline,offline R026 grid replay only; not switching re-simulation
near0A,score_settle010,0.5,calibrated_risk_proxy_projection,calibrated_risk_proxy_projection,30.0,19.7840637899695,0.23475729598909822,old R026 calibrated proxy,offline R026 grid replay only; not switching re-simulation
near0A,score_settle010,0.5,r028_dense_anchor_proxy,calibrated_risk_proxy_projection,30.0,19.7840637899695,0.23475729598909822,R028 dense-anchor proxy replay on R026 grid,offline R026 grid replay only; not switching re-simulation
near0A,score_settle010,0.5,r028_switching_guarded_proxy,calibrated_risk_proxy_projection,30.0,19.7840637899695,0.23475729598909822,R028 stress-fitted candidate replay on R026 grid,offline R026 grid replay only; not switching re-simulation
near0A,score_settle010,0.5,near_opt_band_clipping,near_opt_band_clipping,35.0,19.6731964742753,0.12388998029489784,offline comparator,offline R026 grid replay only; not switching re-simulation
near0A,score_settle010,1.0,combined_grid_oracle,combined_grid_oracle,38.0,19.549306493980403,0.0,offline lower-bound comparator,offline R026 grid replay only; not switching re-simulation
near0A,score_settle010,1.0,discrete_dense_long_table,discrete_dense_long_table,30.0,19.7840637899695,0.23475729598909822,deployable table baseline,offline R026 grid replay only; not switching re-simulation
near0A,score_settle010,1.0,calibrated_risk_proxy_projection,calibrated_risk_proxy_projection,30.0,19.7840637899695,0.23475729598909822,old R026 calibrated proxy,offline R026 grid replay only; not switching re-simulation
near0A,score_settle010,1.0,r028_dense_anchor_proxy,calibrated_risk_proxy_projection,30.0,19.7840637899695,0.23475729598909822,R028 dense-anchor proxy replay on R026 grid,offline R026 grid replay only; not switching re-simulation
near0A,score_settle010,1.0,r028_switching_guarded_proxy,calibrated_risk_proxy_projection,30.0,19.7840637899695,0.23475729598909822,R028 stress-fitted candidate replay on R026 grid,offline R026 grid replay only; not switching re-simulation
near0A,score_settle010,1.0,near_opt_band_clipping,near_opt_band_clipping,35.0,19.6731964742753,0.12388998029489784,offline comparator,offline R026 grid replay only; not switching re-simulation
near0A,score_settle010,2.0,combined_grid_oracle,combined_grid_oracle,38.0,19.549306493980403,0.0,offline lower-bound comparator,offline R026 grid replay only; not switching re-simulation
near0A,score_settle010,2.0,discrete_dense_long_table,discrete_dense_long_table,30.0,19.7840637899695,0.23475729598909822,deployable table baseline,offline R026 grid replay only; not switching re-simulation
near0A,score_settle010,2.0,calibrated_risk_proxy_projection,calibrated_risk_proxy_projection,30.0,19.7840637899695,0.23475729598909822,old R026 calibrated proxy,offline R026 grid replay only; not switching re-simulation
near0A,score_settle010,2.0,r028_dense_anchor_proxy,calibrated_risk_proxy_projection,30.0,19.7840637899695,0.23475729598909822,R028 dense-anchor proxy replay on R026 grid,offline R026 grid replay only; not switching re-simulation
near0A,score_settle010,2.0,r028_switching_guarded_proxy,calibrated_risk_proxy_projection,30.0,19.7840637899695,0.23475729598909822,R028 stress-fitted candidate replay on R026 grid,offline R026 grid replay only; not switching re-simulation
near0A,score_settle010,2.0,near_opt_band_clipping,near_opt_band_clipping,35.0,19.6731964742753,0.12388998029489784,offline comparator,offline R026 grid replay only; not switching re-simulation
near0A,score_settle010,5.0,combined_grid_oracle,combined_grid_oracle,38.0,19.549306493980403,0.0,offline lower-bound comparator,offline R026 grid replay only; not switching re-simulation
near0A,score_settle010,5.0,discrete_dense_long_table,discrete_dense_long_table,30.0,19.7840637899695,0.23475729598909822,deployable table baseline,offline R026 grid replay only; not switching re-simulation
near0A,score_settle010,5.0,calibrated_risk_proxy_projection,calibrated_risk_proxy_projection,30.0,19.7840637899695,0.23475729598909822,old R026 calibrated proxy,offline R026 grid replay only; not switching re-simulation
near0A,score_settle010,5.0,r028_dense_anchor_proxy,calibrated_risk_proxy_projection,30.0,19.7840637899695,0.23475729598909822,R028 dense-anchor proxy replay on R026 grid,offline R026 grid replay only; not switching re-simulation
near0A,score_settle010,5.0,r028_switching_guarded_proxy,calibrated_risk_proxy_projection,30.0,19.7840637899695,0.23475729598909822,R028 stress-fitted candidate replay on R026 grid,offline R026 grid replay only; not switching re-simulation
near0A,score_settle010,5.0,near_opt_band_clipping,near_opt_band_clipping,35.0,19.6731964742753,0.12388998029489784,offline comparator,offline R026 grid replay only; not switching re-simulation
